Name,Description,Block
GGI3,topological charge index of order 3,2D autocorrelations
GGI4,topological charge index of order 4,2D autocorrelations
GGI5,topological charge index of order 5,2D autocorrelations
GGI6,topological charge index of order 6,2D autocorrelations
GGI7,topological charge index of order 7,2D autocorrelations
GGI8,topological charge index of order 8,2D autocorrelations
GGI9,topological charge index of order 9,2D autocorrelations
GGI10,topological charge index of order 10,2D autocorrelations
JGI1,mean topological charge index of order 1,2D autocorrelations
JGI2,mean topological charge index of order 2,2D autocorrelations
JGI3,mean topological charge index of order 3,2D autocorrelations
JGI4,mean topological charge index of order 4,2D autocorrelations
JGI5,mean topological charge index of order 5,2D autocorrelations
JGI6,mean topological charge index of order 6,2D autocorrelations
JGI7,mean topological charge index of order 7,2D autocorrelations
JGI8,mean topological charge index of order 8,2D autocorrelations
JGI9,mean topological charge index of order 9,2D autocorrelations
JGI10,mean topological charge index of order 10,2D autocorrelations
JGT,global topological charge index,2D autocorrelations
SpMax1_Bh(m),largest eigenvalue n. 1 of Burden matrix weighted by mass,Burden eigenvalues
SpMax2_Bh(m),largest eigenvalue n. 2 of Burden matrix weighted by mass,Burden eigenvalues
SpMax3_Bh(m),largest eigenvalue n. 3 of Burden matrix weighted by mass,Burden eigenvalues
SpMax4_Bh(m),largest eigenvalue n. 4 of Burden matrix weighted by mass,Burden eigenvalues
SpMax5_Bh(m),largest eigenvalue n. 5 of Burden matrix weighted by mass,Burden eigenvalues
SpMax6_Bh(m),largest eigenvalue n. 6 of Burden matrix weighted by mass,Burden eigenvalues
SpMax7_Bh(m),largest eigenvalue n. 7 of Burden matrix weighted by mass,Burden eigenvalues
SpMax8_Bh(m),largest eigenvalue n. 8 of Burden matrix weighted by mass,Burden eigenvalues
SpMax1_Bh(v),largest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax2_Bh(v),largest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax3_Bh(v),largest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax4_Bh(v),largest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax5_Bh(v),largest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax6_Bh(v),largest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax7_Bh(v),largest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax8_Bh(v),largest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMax1_Bh(e),largest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax2_Bh(e),largest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax3_Bh(e),largest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax4_Bh(e),largest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax5_Bh(e),largest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax6_Bh(e),largest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax7_Bh(e),largest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax8_Bh(e),largest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMax1_Bh(p),largest eigenvalue n. 1 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax2_Bh(p),largest eigenvalue n. 2 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax3_Bh(p),largest eigenvalue n. 3 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax4_Bh(p),largest eigenvalue n. 4 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax5_Bh(p),largest eigenvalue n. 5 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax6_Bh(p),largest eigenvalue n. 6 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax7_Bh(p),largest eigenvalue n. 7 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax8_Bh(p),largest eigenvalue n. 8 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMax1_Bh(i),largest eigenvalue n. 1 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax2_Bh(i),largest eigenvalue n. 2 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax3_Bh(i),largest eigenvalue n. 3 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax4_Bh(i),largest eigenvalue n. 4 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax5_Bh(i),largest eigenvalue n. 5 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax6_Bh(i),largest eigenvalue n. 6 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax7_Bh(i),largest eigenvalue n. 7 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax8_Bh(i),largest eigenvalue n. 8 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMax1_Bh(s),largest eigenvalue n. 1 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax2_Bh(s),largest eigenvalue n. 2 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax3_Bh(s),largest eigenvalue n. 3 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax4_Bh(s),largest eigenvalue n. 4 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax5_Bh(s),largest eigenvalue n. 5 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax6_Bh(s),largest eigenvalue n. 6 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax7_Bh(s),largest eigenvalue n. 7 of Burden matrix weighted by I-state,Burden eigenvalues
SpMax8_Bh(s),largest eigenvalue n. 8 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin1_Bh(m),smallest eigenvalue n. 1 of Burden matrix weighted by mass,Burden eigenvalues
SpMin2_Bh(m),smallest eigenvalue n. 2 of Burden matrix weighted by mass,Burden eigenvalues
SpMin3_Bh(m),smallest eigenvalue n. 3 of Burden matrix weighted by mass,Burden eigenvalues
SpMin4_Bh(m),smallest eigenvalue n. 4 of Burden matrix weighted by mass,Burden eigenvalues
SpMin5_Bh(m),smallest eigenvalue n. 5 of Burden matrix weighted by mass,Burden eigenvalues
SpMin6_Bh(m),smallest eigenvalue n. 6 of Burden matrix weighted by mass,Burden eigenvalues
SpMin7_Bh(m),smallest eigenvalue n. 7 of Burden matrix weighted by mass,Burden eigenvalues
SpMin8_Bh(m),smallest eigenvalue n. 8 of Burden matrix weighted by mass,Burden eigenvalues
SpMin1_Bh(v),smallest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin2_Bh(v),smallest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin3_Bh(v),smallest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin4_Bh(v),smallest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin5_Bh(v),smallest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin6_Bh(v),smallest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin7_Bh(v),smallest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin8_Bh(v),smallest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume,Burden eigenvalues
SpMin1_Bh(e),smallest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin2_Bh(e),smallest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin3_Bh(e),smallest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin4_Bh(e),smallest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin5_Bh(e),smallest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin6_Bh(e),smallest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin7_Bh(e),smallest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin8_Bh(e),smallest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity,Burden eigenvalues
SpMin1_Bh(p),smallest eigenvalue n. 1 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin2_Bh(p),smallest eigenvalue n. 2 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin3_Bh(p),smallest eigenvalue n. 3 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin4_Bh(p),smallest eigenvalue n. 4 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin5_Bh(p),smallest eigenvalue n. 5 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin6_Bh(p),smallest eigenvalue n. 6 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin7_Bh(p),smallest eigenvalue n. 7 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin8_Bh(p),smallest eigenvalue n. 8 of Burden matrix weighted by polarizability,Burden eigenvalues
SpMin1_Bh(i),smallest eigenvalue n. 1 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin2_Bh(i),smallest eigenvalue n. 2 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin3_Bh(i),smallest eigenvalue n. 3 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin4_Bh(i),smallest eigenvalue n. 4 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin5_Bh(i),smallest eigenvalue n. 5 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin6_Bh(i),smallest eigenvalue n. 6 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin7_Bh(i),smallest eigenvalue n. 7 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin8_Bh(i),smallest eigenvalue n. 8 of Burden matrix weighted by ionization potential,Burden eigenvalues
SpMin1_Bh(s),smallest eigenvalue n. 1 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin2_Bh(s),smallest eigenvalue n. 2 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin3_Bh(s),smallest eigenvalue n. 3 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin4_Bh(s),smallest eigenvalue n. 4 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin5_Bh(s),smallest eigenvalue n. 5 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin6_Bh(s),smallest eigenvalue n. 6 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin7_Bh(s),smallest eigenvalue n. 7 of Burden matrix weighted by I-state,Burden eigenvalues
SpMin8_Bh(s),smallest eigenvalue n. 8 of Burden matrix weighted by I-state,Burden eigenvalues
P_VSA_LogP_1,"P_VSA-like on LogP, bin 1",P_VSA-like descriptor
P_VSA_LogP_2,"P_VSA-like on LogP, bin 2",P_VSA-like descriptor
P_VSA_LogP_3,"P_VSA-like on LogP, bin 3",P_VSA-like descriptor
P_VSA_LogP_4,"P_VSA-like on LogP, bin 4",P_VSA-like descriptor
P_VSA_LogP_5,"P_VSA-like on LogP, bin 5",P_VSA-like descriptor
P_VSA_LogP_6,"P_VSA-like on LogP, bin 6",P_VSA-like descriptor
P_VSA_LogP_7,"P_VSA-like on LogP, bin 7",P_VSA-like descriptor
P_VSA_LogP_8,"P_VSA-like on LogP, bin 8",P_VSA-like descriptor
P_VSA_MR_1,"P_VSA-like on Molar Refractivity, bin 1",P_VSA-like descriptor
P_VSA_MR_2,"P_VSA-like on Molar Refractivity, bin 2",P_VSA-like descriptor
P_VSA_MR_3,"P_VSA-like on Molar Refractivity, bin 3",P_VSA-like descriptor
P_VSA_MR_4,"P_VSA-like on Molar Refractivity, bin 4",P_VSA-like descriptor
P_VSA_MR_5,"P_VSA-like on Molar Refractivity, bin 5",P_VSA-like descriptor
P_VSA_MR_6,"P_VSA-like on Molar Refractivity, bin 6",P_VSA-like descriptor
P_VSA_MR_7,"P_VSA-like on Molar Refractivity, bin 7",P_VSA-like descriptor
P_VSA_MR_8,"P_VSA-like on Molar Refractivity, bin 8",P_VSA-like descriptor
P_VSA_m_1,"P_VSA-like on mass, bin 1",P_VSA-like descriptor
P_VSA_m_2,"P_VSA-like on mass, bin 2",P_VSA-like descriptor
P_VSA_m_3,"P_VSA-like on mass, bin 3",P_VSA-like descriptor
P_VSA_m_4,"P_VSA-like on mass, bin 4",P_VSA-like descriptor
P_VSA_m_5,"P_VSA-like on mass, bin 5",P_VSA-like descriptor
P_VSA_v_1,"P_VSA-like on van der Waals volume, bin 1",P_VSA-like descriptor
P_VSA_v_2,"P_VSA-like on van der Waals volume, bin 2",P_VSA-like descriptor
P_VSA_v_3,"P_VSA-like on van der Waals volume, bin 3",P_VSA-like descriptor
P_VSA_v_4,"P_VSA-like on van der Waals volume, bin 4",P_VSA-like descriptor
P_VSA_e_1,"P_VSA-like on Sanderson electronegativity, bin 1",P_VSA-like descriptor
P_VSA_e_2,"P_VSA-like on Sanderson electronegativity, bin 2",P_VSA-like descriptor
P_VSA_e_3,"P_VSA-like on Sanderson electronegativity, bin 3",P_VSA-like descriptor
P_VSA_e_4,"P_VSA-like on Sanderson electronegativity, bin 4",P_VSA-like descriptor
P_VSA_e_5,"P_VSA-like on Sanderson electronegativity, bin 5",P_VSA-like descriptor
P_VSA_e_6,"P_VSA-like on Sanderson electronegativity, bin 6",P_VSA-like descriptor
P_VSA_p_1,"P_VSA-like on polarizability, bin 1",P_VSA-like descriptor
P_VSA_p_2,"P_VSA-like on polarizability, bin 2",P_VSA-like descriptor
P_VSA_p_3,"P_VSA-like on polarizability, bin 3",P_VSA-like descriptor
P_VSA_p_4,"P_VSA-like on polarizability, bin 4",P_VSA-like descriptor
P_VSA_i_1,"P_VSA-like on ionization potential, bin 1",P_VSA-like descriptor
P_VSA_i_2,"P_VSA-like on ionization potential, bin 2",P_VSA-like descriptor
P_VSA_i_3,"P_VSA-like on ionization potential, bin 3",P_VSA-like descriptor
P_VSA_i_4,"P_VSA-like on ionization potential, bin 4",P_VSA-like descriptor
P_VSA_s_1,"P_VSA-like on I-state, bin 1",P_VSA-like descriptor
P_VSA_s_2,"P_VSA-like on I-state, bin 2",P_VSA-like descriptor
P_VSA_s_3,"P_VSA-like on I-state, bin 3",P_VSA-like descriptor
P_VSA_s_4,"P_VSA-like on I-state, bin 4",P_VSA-like descriptor
P_VSA_s_5,"P_VSA-like on I-state, bin 5",P_VSA-like descriptor
P_VSA_s_6,"P_VSA-like on I-state, bin 6",P_VSA-like descriptor
P_VSA_ppp_L,"P_VSA-like on potential pharmacophore points, L - lipophilic",P_VSA-like descriptor
P_VSA_ppp_P,"P_VSA-like on potential pharmacophore points, P - positive",P_VSA-like descriptor
P_VSA_ppp_N,"P_VSA-like on potential pharmacophore points, N - negative",P_VSA-like descriptor
P_VSA_ppp_D,"P_VSA-like on potential pharmacophore points, D - hydrogen-bond donor",P_VSA-like descriptor
P_VSA_ppp_A,"P_VSA-like on potential pharmacophore points, A - hydrogen-bond acceptor",P_VSA-like descriptor
P_VSA_ppp_ar,"P_VSA-like on potential pharmacophore points, ar - aromatic atoms",P_VSA-like descriptor
P_VSA_ppp_con,"P_VSA-like on potential pharmacophore points, con - conjugated atoms",P_VSA-like descriptor
P_VSA_ppp_hal,"P_VSA-like on potential pharmacophore points, hal - halogen atoms",P_VSA-like descriptor
P_VSA_ppp_cyc,"P_VSA-like on potential pharmacophore points, cyc - atoms belonging to cycles",P_VSA-like descriptor
P_VSA_ppp_ter,"P_VSA-like on potential pharmacophore points, ter - terminal atoms",P_VSA-like descriptor
Eta_alpha,eta core count,ETA indices
Eta_alpha_A,eta average core count,ETA indices
Eta_epsi,eta electronegativity measure,ETA indices
Eta_epsi_A,eta average electronegativity measure,ETA indices
Eta_betaS,eta sigma VEM count,ETA indices
Eta_betaS_A,eta sigma average VEM coun,ETA indices
Eta_betaP,eta pi and lone pair VEM count,ETA indices
Eta_betaP_A,eta pi and lone pair average VEM count,ETA indices
Eta_beta,eta VEM count,ETA indices
Eta_beta_A,eta average VEM count,ETA indices
Eta_C,eta composite index,ETA indices
Eta_C_A,eta average composite index,ETA indices
Eta_L,eta local composite index,ETA indices
Eta_L_A,eta average local composite index,ETA indices
Eta_F,eta functionality index,ETA indices
Eta_F_A,eta average functionality index,ETA indices
Eta_FL,eta local functionality index,ETA indices
Eta_FL_A,eta average local functionality index,ETA indices
Eta_B,eta branching index,ETA indices
Eta_B_A,eta average branching index,ETA indices
Eta_sh_p,eta p shape index,ETA indices
Eta_sh_y,eta y shape index,ETA indices
Eta_sh_x,eta x shape index,ETA indices
SpMax_EA,leading eigenvalue from edge adjacency mat.,Edge adjacency indices
SpMaxA_EA,normalized leading eigenvalue from edge adjacency mat.,Edge adjacency indices
SpDiam_EA,spectral diameter from edge adjacency mat.,Edge adjacency indices
SpAD_EA,spectral absolute deviation from edge adjacency mat.,Edge adjacency indices
SpMAD_EA,spectral mean absolute deviation from edge adjacency mat.,Edge adjacency indices
SpMax_EA(ed),leading eigenvalue from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMaxA_EA(ed),normalized leading eigenvalue from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpDiam_EA(ed),spectral diameter from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpAD_EA(ed),spectral absolute deviation from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMAD_EA(ed),spectral mean absolute deviation from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMax_EA(bo),leading eigenvalue from edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMaxA_EA(bo),normalized leading eigenvalue from edge adjacency mat. weighted by bond order,Edge adjacency indices
SpDiam_EA(bo),spectral diameter from edge adjacency mat. weighted by bond order,Edge adjacency indices
SpAD_EA(bo),spectral absolute deviation from edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMAD_EA(bo),spectral mean absolute deviation from edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMax_EA(dm),leading eigenvalue from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMaxA_EA(dm),normalized leading eigenvalue from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpDiam_EA(dm),spectral diameter from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpAD_EA(dm),spectral absolute deviation from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMAD_EA(dm),spectral mean absolute deviation from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMax_EA(ri),leading eigenvalue from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpMaxA_EA(ri),normalized leading eigenvalue from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpDiam_EA(ri),spectral diameter from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpAD_EA(ri),spectral absolute deviation from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpMAD_EA(ri),spectral mean absolute deviation from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpMax_AEA(ed),leading eigenvalue from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMaxA_AEA(ed),normalized leading eigenvalue from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpDiam_AEA(ed),spectral diameter from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpAD_AEA(ed),spectral absolute deviation from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMAD_AEA(ed),spectral mean absolute deviation from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
SpMax_AEA(bo),leading eigenvalue from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMaxA_AEA(bo),normalized leading eigenvalue from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SpDiam_AEA(bo),spectral diameter from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SpAD_AEA(bo),spectral absolute deviation from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMAD_AEA(bo),spectral mean absolute deviation from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
SpMax_AEA(dm),leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMaxA_AEA(dm),normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpDiam_AEA(dm),spectral diameter from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpAD_AEA(dm),spectral absolute deviation from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMAD_AEA(dm),spectral mean absolute deviation from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SpMax_AEA(ri),leading eigenvalue from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpMaxA_AEA(ri),normalized leading eigenvalue from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpDiam_AEA(ri),spectral diameter from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpAD_AEA(ri),spectral absolute deviation from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SpMAD_AEA(ri),spectral mean absolute deviation from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Chi0_EA,connectivity-like index of order 0 from edge adjacency mat.,Edge adjacency indices
Chi1_EA,connectivity-like index of order 1 from edge adjacency mat.,Edge adjacency indices
Chi0_EA(ed),connectivity-like index of order 0 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Chi1_EA(ed),connectivity-like index of order 1 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
Chi0_EA(bo),connectivity-like index of order 0 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Chi1_EA(bo),connectivity-like index of order 1 from edge adjacency mat. weighted by bond order,Edge adjacency indices
Chi0_EA(dm),connectivity-like index of order 0 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Chi1_EA(dm),connectivity-like index of order 1 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Chi0_EA(ri),connectivity-like index of order 0 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Chi1_EA(ri),connectivity-like index of order 1 from edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Chi0_AEA(ed),connectivity-like index of order 0 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
Chi1_AEA(ed),connectivity-like index of order 1 from augmented edge adjacency mat. weighted by edge degree,Edge adjacency indices
Chi0_AEA(bo),connectivity-like index of order 0 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
Chi1_AEA(bo),connectivity-like index of order 1 from augmented edge adjacency mat. weighted by bond order,Edge adjacency indices
Chi0_AEA(dm),connectivity-like index of order 0 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Chi1_AEA(dm),connectivity-like index of order 1 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Chi0_AEA(ri),connectivity-like index of order 0 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
Chi1_AEA(ri),connectivity-like index of order 1 from augmented edge adjacency mat. weighted by resonance integral,Edge adjacency indices
SM02_EA,spectral moment of order 2 from edge adjacency mat.,Edge adjacency indices
SM03_EA,spectral moment of order 3 from edge adjacency mat.,Edge adjacency indices
SM04_EA,spectral moment of order 4 from edge adjacency mat.,Edge adjacency indices
SM05_EA,spectral moment of order 5 from edge adjacency mat.,Edge adjacency indices
SM06_EA,spectral moment of order 6 from edge adjacency mat.,Edge adjacency indices
SM07_EA,spectral moment of order 7 from edge adjacency mat.,Edge adjacency indices
SM08_EA,spectral moment of order 8 from edge adjacency mat.,Edge adjacency indices
SM09_EA,spectral moment of order 9 from edge adjacency mat.,Edge adjacency indices
SM10_EA,spectral moment of order 10 from edge adjacency mat.,Edge adjacency indices
SM11_EA,spectral moment of order 11 from edge adjacency mat.,Edge adjacency indices
SM12_EA,spectral moment of order 12 from edge adjacency mat.,Edge adjacency indices
SM13_EA,spectral moment of order 13 from edge adjacency mat.,Edge adjacency indices
SM14_EA,spectral moment of order 14 from edge adjacency mat.,Edge adjacency indices
SM15_EA,spectral moment of order 15 from edge adjacency mat.,Edge adjacency indices
SM02_EA(ed),spectral moment of order 2 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM03_EA(ed),spectral moment of order 3 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM04_EA(ed),spectral moment of order 4 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM05_EA(ed),spectral moment of order 5 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM06_EA(ed),spectral moment of order 6 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM07_EA(ed),spectral moment of order 7 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM08_EA(ed),spectral moment of order 8 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM09_EA(ed),spectral moment of order 9 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM10_EA(ed),spectral moment of order 10 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM11_EA(ed),spectral moment of order 11 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM12_EA(ed),spectral moment of order 12 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM13_EA(ed),spectral moment of order 13 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM14_EA(ed),spectral moment of order 14 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM15_EA(ed),spectral moment of order 15 from edge adjacency mat. weighted by edge degree,Edge adjacency indices
SM02_EA(bo),spectral moment of order 2 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM03_EA(bo),spectral moment of order 3 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM04_EA(bo),spectral moment of order 4 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM05_EA(bo),spectral moment of order 5 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM06_EA(bo),spectral moment of order 6 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM07_EA(bo),spectral moment of order 7 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM08_EA(bo),spectral moment of order 8 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM09_EA(bo),spectral moment of order 9 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM10_EA(bo),spectral moment of order 10 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM11_EA(bo),spectral moment of order 11 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM12_EA(bo),spectral moment of order 12 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM13_EA(bo),spectral moment of order 13 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM14_EA(bo),spectral moment of order 14 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM15_EA(bo),spectral moment of order 15 from edge adjacency mat. weighted by bond order,Edge adjacency indices
SM02_EA(dm),spectral moment of order 2 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM03_EA(dm),spectral moment of order 3 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM04_EA(dm),spectral moment of order 4 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM05_EA(dm),spectral moment of order 5 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM06_EA(dm),spectral moment of order 6 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM07_EA(dm),spectral moment of order 7 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
SM08_EA(dm),spectral moment of order 8 from edge adjacency mat. weighted by dipole moment,Edge adjacency indices
